,date,year,id,link,retweet,text,author
1818,12/9,2015,6.75E+17,/realDonaldTrump/status/674610092344496128,FALSE,"""Rupert Murdoch Defends Trump: 'Complete Refugee Pause' Makes Sense' ""http://www.breitbart.com/big-government/2015/12/08/rupert-murdoch-defends-trump-complete-refugee-pause-makes-sense/åÊ‰Û_",DonaldTrump
1819,12/9,2015,6.75E+17,/realDonaldTrump/status/674587800835092480,FALSE,I told you @TIME Magazine would never pick me as person of the year despite being the big favorite They picked person who is ruining Germany,DonaldTrump
1820,12/9,2015,6.75E+17,/realDonaldTrump/status/674578580681134080,FALSE,Hillary Clinton does not have the STRENGTH or STAMINA to be President. We need strong and super smart for our next leader - or trouble!,DonaldTrump
1821,12/9,2015,6.75E+17,/realDonaldTrump/status/674577809877147648,FALSE,The last person corrupt Hillary Clinton wants to run against is Donald J. Trump. I'll end up beating her in every state. New Fox Poll-Trump!,DonaldTrump
1822,12/8,2015,6.74E+17,/realDonaldTrump/status/674446382871265280,TRUE,"""@YitzySchwartz:  @CNN anyone who hates on Trump hates on America. We are a proud nation lacking a leader. Choose Trump to bring us""",DonaldTrump
1823,12/8,2015,6.74E+17,/realDonaldTrump/status/674443666455461889,FALSE,"Great poll numbers just coming out of New Hampshire. BIG lead for ""Trump"" according to @CNN!",DonaldTrump
1824,12/8,2015,6.74E+17,/realDonaldTrump/status/674442309874921472,FALSE,"Wow, what a day. So many foolish people that refuse to acknowledge the tremendous  danger and uncertainty of certain people coming into U.S.",DonaldTrump
1825,12/8,2015,6.74E+17,/realDonaldTrump/status/674422386620502016,FALSE,"Our country is facing a major threat from radical Islamic terrorism. We better get very smart, and very tough, FAST, before it is too late!",DonaldTrump
1826,12/8,2015,6.74E+17,/realDonaldTrump/status/674382044097449985,FALSE,"Despite my great respect for King Abdullah II, I will not be visiting Jordan at this time. This is in response to the false @AP report.",DonaldTrump
1827,12/8,2015,6.74E+17,/realDonaldTrump/status/674381255933300736,FALSE,"Prior to the end of the year, I will be traveling to Israel. I am very much looking forward to it.",DonaldTrump
1828,12/8,2015,6.74E+17,/realDonaldTrump/status/674370442908577796,FALSE,Great new poll from NH. Thank you! We need to keep this country safe! #Trump2016 https://www.facebook.com/DonaldTrump/posts/10156390698410725:0åÊ‰Û_pic.twitter.com/EAqHZ5ttmp,DonaldTrump
1829,12/8,2015,6.74E+17,/realDonaldTrump/status/674317248803307520,FALSE,A new poll indicates that 68% of my supporters would vote for me if I departed the GOP & ran as an independent. https://www.facebook.com/DonaldTrump/posts/10156389951165725:0åÊ‰Û_,DonaldTrump
1830,12/8,2015,6.74E+17,/realDonaldTrump/status/674234492287123456,FALSE,"I wish the @WSJ Wall Street Journal had reported the just out @CNN Iowa Poll correctly. I lead by a wide margin,13 points, going up big!",DonaldTrump
1831,12/8,2015,6.74E+17,/realDonaldTrump/status/674233304682483712,FALSE,"Just won IOWA @CNN Poll BIG: Trump 33% Cruz 20% Rubio 11%,  but @WSJ reported ""Cruz momentum"" but nothing about the fact that I easily won!",DonaldTrump
1832,12/7,2015,6.74E+17,/realDonaldTrump/status/674071269248278528,TRUE,"""@CRinQC: RT @thehill: New Iowa poll finds .@realDonaldTrump in the lead by double digits. http://hill.cm/6zRpe0YåÊpic.twitter.com/t6DSOopCXd",DonaldTrump
1833,12/7,2015,6.74E+17,/realDonaldTrump/status/674066628754210816,FALSE,Great video of tonights crowd reacting to my latest proposal in SC. #Trump2016 https://www.facebook.com/video.php?v=10156387656245725åÊ‰Û_pic.twitter.com/Ko0rypNsx8,DonaldTrump
1834,12/7,2015,6.74E+17,/realDonaldTrump/status/674066482322649089,FALSE,Just released @CNN Poll gives me a big 13 point lead in Iowa. Change your false story failing @nytimes. Thank you Iowa!,DonaldTrump
1835,12/7,2015,6.74E+17,/realDonaldTrump/status/674010482123124737,FALSE,The main stream media wants to surrender constitutional rights -- I believe #ISIS needs to surrender!,DonaldTrump
1836,12/7,2015,6.74E+17,/realDonaldTrump/status/673996874781708288,FALSE,"On my way to Charleston/Mount Pleasant, South Carolina. Big crowd. Look forward to it! #USSYorktownpic.twitter.com/1Z9Z4uDWaf",DonaldTrump
